n,seed,brute_tsi,rank_tsi,brute_qsi,no_ties
4,0,1.0,1.0,1.0,True
4,1,1.0,1.0,1.0,True
4,2,1.0,1.0,1.0,True
4,3,1.0,1.0,1.0,True
4,4,1.0,1.0,1.0,True
4,5,1.0,1.0,1.0,True
4,6,1.0,1.0,1.0,True
4,7,1.0,1.0,1.0,True
5,0,1.0,1.0,1.0,True
5,1,1.0,1.0,1.0,True
5,2,1.0,1.0,1.0,True
5,3,1.0,1.0,1.0,True
5,4,1.0,1.0,1.0,True
5,5,1.0,1.0,1.0,True
5,6,1.0,1.0,1.0,True
5,7,1.0,1.0,1.0,True
6,0,1.0,1.0,1.0,True
6,1,1.0,1.0,1.0,True
6,2,1.0,1.0,1.0,True
6,3,1.0,1.0,1.0,True
6,4,1.0,1.0,1.0,True
6,5,1.0,1.0,1.0,True
6,6,1.0,1.0,1.0,True
6,7,1.0,1.0,1.0,True
7,0,1.0,1.0,1.0,True
7,1,1.0,1.0,1.0,True
7,2,1.0,1.0,1.0,True
7,3,1.0,1.0,1.0,True
7,4,1.0,1.0,1.0,True
7,5,1.0,1.0,1.0,True
7,6,1.0,1.0,1.0,True
7,7,1.0,1.0,1.0,True
8,0,1.0,1.0,1.0,True
8,1,1.0,1.0,1.0,True
8,2,1.0,1.0,1.0,True
8,3,1.0,1.0,1.0,True
8,4,1.0,1.0,1.0,True
8,5,1.0,1.0,1.0,True
8,6,1.0,1.0,1.0,True
8,7,1.0,1.0,1.0,True
